50,44,1
63,3,1
67,24,1
15,86,1
8,5,1
58,12,1
51,84,1
85,60,1
9,78,1
71,44,1
47,79,1
43,13,1
25,74,1
36,14,1
96,99,1
22,54,1
34,1,1
69,98,1
47,45,1
24,27,1
35,64,1
4,33,1
47,91,1
20,92,1
78,6,1
55,72,1
90,88,1
20,32,1
3,1,1
33,25,1
96,70,1
99,74,1
64,33,1
2,40,1
68,54,1
42,98,1
41,79,1
94,58,1
52,84,1
64,63,1
22,54,1
84,34,1
2,52,1
52,90,1
18,24,1
53,11,1
16,32,1
98,68,1
41,67,1
86,79,1
37,52,1
21,34,1
35,46,1
83,93,1
27,87,1
63,88,1
38,73,1
18,1,1
55,65,1
78,81,1
88,22,1
31,61,1
57,93,1
99,90,1
91,6,1
76,30,1
17,8,1
73,22,1
99,57,1
64,2,1
87,34,1
84,71,1
79,22,1
56,94,1
69,95,1
75,54,1
14,77,1
94,68,1
1,18,1
7,35,1
11,18,1
31,66,1
82,56,1
13,57,1
35,64,1
98,52,1
45,25,1
25,79,1
64,51,1
33,89,1
46,5,1
29,57,1
81,60,1
56,50,1
6,20,1
78,79,1
34,9,1
91,97,1
96,74,1
43,57,1
67,30,1
26,42,1
34,23,1
87,20,1
97,36,1
20,89,1
6,68,1
65,70,1
14,33,1
14,50,1
23,92,1
43,30,1
19,46,1
51,99,1
99,51,1
40,96,1
37,47,1
80,65,1
8,2,1
32,59,1
99,30,1
50,83,1
61,16,1
89,65,1
36,60,1
84,33,1
67,6,1
54,12,1
42,73,1
72,65,1
70,71,1
69,92,1
87,96,1
79,53,1
16,72,1
46,78,1
93,20,1
95,2,1
82,93,1
63,42,1
79,11,1
38,50,1
64,77,1
43,73,1
76,71,1
66,63,1
99,42,1
69,67,1
45,79,1
76,89,1
33,18,1
27,62,1
75,18,1
38,47,1
59,38,1
82,73,1
88,88,1
39,66,1
88,94,1
38,69,1
88,87,1
80,28,1
92,95,1
84,35,1
66,19,1
86,33,1
13,61,1
23,30,1
65,96,1
13,46,1
41,74,1
30,42,1
83,40,1
4,44,1
38,63,1
60,51,1
57,43,1
84,55,1
83,50,1
14,70,1
53,62,1
79,67,1
17,79,1
41,46,1
39,45,1
33,44,1
44,19,1
13,25,1
42,40,1
17,59,1
47,94,1
60,85,1
90,81,1
98,34,1
75,74,1
22,50,1
16,92,1
31,86,1
1,20,1
81,54,1
88,31,1
26,52,1
73,42,1
42,59,1
80,13,1
4,45,1
21,84,1
60,28,1
26,92,1
18,12,1
92,45,1
33,31,1
88,86,1
68,83,1
60,89,1
77,46,1
31,38,1
98,12,1
69,17,1
57,1,1
68,58,1
16,54,1
13,40,1
33,69,1
19,23,1
59,41,1
35,73,1
84,44,1
41,5,1
51,88,1
54,62,1
18,37,1
51,62,1
45,66,1
13,46,1
17,88,1
36,35,1
56,76,1
91,91,1
58,72,1
97,46,1
41,72,1
2,29,1
14,11,1
67,72,1
73,57,1
57,72,1
31,29,1
67,32,1
23,68,1
27,77,1
90,61,1
71,42,1
68,24,1
99,98,1
52,14,1
11,56,1
32,74,1
84,68,1
71,70,1
32,28,1
40,45,1
80,96,1
4,89,1
9,40,1
83,67,1
70,7,1
60,99,1
46,23,1
28,42,1
97,15,1
13,29,1
50,58,1
20,11,1
29,52,1
32,96,1
6,36,1
9,50,1
39,40,1
78,62,1
37,1,1
39,31,1
6,90,1
12,98,1
48,11,1
31,41,1
86,7,1
29,15,1
33,55,1
32,51,1
85,96,1
96,53,1
94,33,1
40,14,1
94,45,1
8,55,1
16,23,1
70,91,1
16,79,1
42,74,1
26,90,1
91,67,1
89,99,1
35,24,1
9,56,1
30,45,1
69,4,1
28,94,1
59,43,1
89,37,1
37,84,1
55,28,1
22,91,1
7,25,1
34,11,1
97,80,1
40,15,1
74,82,1
70,17,1
51,74,1
98,93,1
12,62,1
3,16,1
87,25,1
38,92,1
88,9,1
45,75,1
86,1,1
67,1,1
24,35,1
2,20,1
93,11,1
97,75,1
33,83,1
9,99,1
54,63,1
32,29,1
60,26,1
45,61,1
73,47,1
31,45,1
28,56,1
13,83,1
66,24,1
47,10,1
22,63,1
66,11,1
34,33,1
80,34,1
14,71,1
47,15,1
22,80,1
56,5,1
90,51,1
67,27,1
81,98,1
35,11,1
16,65,1
1,64,1
52,13,1
69,49,1
5,45,1
77,7,1
30,56,1
86,33,1
43,38,1
12,12,1
67,17,1
75,90,1
35,76,1
69,17,1
17,84,1
94,60,1
68,37,1
75,89,1
27,39,1
62,31,1
20,14,1
52,31,1
13,55,1
60,23,1
85,32,1
48,28,1
78,31,1
15,65,1
47,89,1
86,47,1
65,50,1
29,40,1
12,90,1
93,92,1
27,3,1
27,12,1
14,40,1
36,39,1
15,74,1
60,82,1
3,93,1
62,48,1
76,26,1
82,35,1
51,61,1
18,6,1
26,27,1
63,92,1
76,27,1
64,86,1
64,18,1
77,17,1
93,95,1
61,23,1
27,24,1
22,76,1
68,91,1
54,85,1
5,66,1
76,32,1
43,44,1
46,47,1
75,53,1
26,72,1
34,16,1
71,74,1
43,23,1
4,36,1
23,96,1
96,66,1
58,79,1
10,20,1
75,96,1
25,22,1
46,75,1
65,85,1
47,14,1
29,17,1
32,5,1
65,90,1
78,2,1
91,40,1
27,79,1
74,78,1
24,85,1
87,26,1
23,26,1
18,96,1
90,24,1
71,25,1
28,85,1
92,73,1
